Name,Website,"Project Description","Project Manager","Project Status",Resource,"Start Year","End Year","Project Connectivity","Capacity MW","Project Scale","Project Life Cycle",Devices,"Number of Devices",Waterbody,"Site Characteristics",Country
"PRIMRE/Databases/Projects Database/Projects/Ness of Duncansby Tidal Array",https://saerenewables.com/scottishpower-renewables-joins-forces-with-atlantis-resources-to-establish-the-largest-tidal-stream-portfolio-in-the-uk/,,"SIMEC Atlantis Energy",Active,Tidal,Planned,,"Grid Connected",30,Array,Planned,"SAE AR1000",30,"Ness of Duncansby,  Pentland Firth, Scottland",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/New Energy for Martinique and Overseas NEMO",https://oceanenergy-europe.eu/wp-content/uploads/2018/01/ocn_-_nemo_-_fr_-_2016_factsheet_0.pdf,,"Akuo Energy,Naval Group",Inactive,"Thermal Gradient",Canceled,,"Grid Connected",16,"Single Device",Canceled,"NEMO OTEC",1,"Eastern Caribbean Sea, Martinique, France",Coastal,France
"PRIMRE/Databases/Projects Database/Projects/North Wales Tidal Lagoon",https://www.northwalestidalenergy.com/concept,,"North Wales Tidal Energy Coastal Protection",Active,Tidal,Planned,,"Grid Connected",2000,Array,Planned,,100,"Off the North Wales coast",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/North West Lewis",https://tethys.pnnl.gov/project-sites/north-west-lewis-wave-array,,"Aquamarine Power",Inactive,Wave,Canceled,,"Grid Connected",40,Array,Canceled,"Aquamarine Power Oyster 800",50,"North-west coast of the Western Isles, Scotland",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/OIST Maldives Demonstration",https://www.oist.jp/news-center/press-releases/oist-harness-energy-ocean-waves-maldives,,"Okinawa Institute of Science and Technology Graduate University",Active,Wave,2018,,"Not Grid Connected",11.6,Array,Operational,"OIST WEC-units",2,"Indian Ocean",Coastal,Maldives
"PRIMRE/Databases/Projects Database/Projects/OIST Okinawa Demonstration",https://www.oist.jp/news-center/news/2019/7/23/wave-energy-turbine-installed-okinawa-shoreline,,"Okinawa Institute of Science and Technology Graduate University",Active,Wave,2019,,,0.01,"Single Device",Operational,"OIST WEC-units",1,"Port of Seragaki",Coastal,Japan
"PRIMRE/Databases/Projects Database/Projects/OPT Reedsport",https://oceanpowertechnologies.com/,,"Ocean Power Technologies",Inactive,Wave,Canceled,,"Grid Connected",1.5,Array,Canceled,"PB3 PowerBuoy",10,"Pacific Ocean off Reedsport, OR","Open Ocean","United States"
"PRIMRE/Databases/Projects Database/Projects/OWC Pico Power Plant",https://www.sciencedirect.com/science/article/pii/S0141118719305875,,Pico,Inactive,Wave,1999,2018,"Not Grid Connected",0.4,"Single Device",Completed,"Pico Oscillating Water Column",1,"Pico Island, Azores, Spain",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/Oceanlinx MK1",https://tethys.pnnl.gov/project-sites/oceanlinx-mk1,,Oceanlinx,Inactive,Wave,2005,2009,"Not Grid Connected",0.5,"Single Device",Completed,"Oceanlinx MK1",1,"Port Kembla Harbour",,Australia
"PRIMRE/Databases/Projects Database/Projects/Oceanlinx MK2",https://tethys.pnnl.gov/project-sites/oceanlinx-mk2,,Oceanlinx,Inactive,Wave,2007,2008,"Not Grid Connected",0.6,Sub-scale,Completed,"Oceanlinx MK2",1,"Port Kembla Harbour",Coastal,Australia
"PRIMRE/Databases/Projects Database/Projects/Oceanlinx MK3",https://tethys.pnnl.gov/project-sites/oceanlinx-mk3,,Oceanlinx,Inactive,Wave,2010,2010,"Grid Connected",2.5,Sub-scale,Completed,"Oceanlinx MK3",1,"Port Kembla Harbour",,Australia
"PRIMRE/Databases/Projects Database/Projects/Okinawa OTEC Demonstration",http://otecokinawa.com/en/Project/index.html,,"IHI Corporation",Active,"Thermal Gradient",2013,,"Grid Connected",0.1,Array,Operational,"Okinawa Rankine OTEC",2,"Kume Island, Japan",Coastal,Japan
"PRIMRE/Databases/Projects Database/Projects/Oneka Algarrobo Chile Test",https://www.offshore-energy.biz/oneka-sets-foot-in-chile-with-wave-powered-desalination-technology/,,"Oneka Technologies",Inactive,Wave,2022,2023,"Not Grid Connected",0,"Single Device",Completed,"Oneka P-class",1,"Algarrobo, Chile",Coastal,Chile
"PRIMRE/Databases/Projects Database/Projects/Oneka City of Fort Bragg Desalination",https://www.onekawater.com/the-city-of-fort-bragg-and-oneka-technologies-partner-to-deploy-the-first-wave-powered-desalination-demonstration-site-in-california/,,"Oneka Technologies",Active,Wave,Planned,,"Not Grid Connected",0,"Single Device",Planned,"Oneka Iceberg-class",1,"Fort Bragg Coast, California, United States",Coastal,"United States"
"PRIMRE/Databases/Projects Database/Projects/Oneka Glacier Project",https://www.onekawater.com/canadian-company-oneka-in-chile/,,"Oneka Technologies",Active,Wave,Planned,,"Not Grid Connected",,Array,Planned,"Oneka Iceberg-class",,"Algarrobo, Chile",Coastal,Chile
"PRIMRE/Databases/Projects Database/Projects/Oosterschelde Tocardo",https://www.tocardo.com/tocardo-acquires-1-25mw-oosterschelde-tidal-power-plant-the-largest-tidal-array-in-the-world/,,"Tocardo International BV",Active,Tidal,2015,,"Grid Connected",1.25,Array,Operational,"Tocardo International T2 Turbine",5,"Eastern Scheldt","Constricted Channel",Netherlands
"PRIMRE/Databases/Projects Database/Projects/Open Sea Lab",https://meric.cl/lab-en/,,"Energía Marina SpA",Active,Wave,2021,,"Not Grid Connected",0.015,"Single Device",Operational,"PB3 PowerBuoy",1,"Las Cruces, Chile",Coastal,Chile
"PRIMRE/Databases/Projects Database/Projects/Orbital at PTEC",https://orbitalisleofwight.com/,,Scotrenewables,Active,Tidal,Planned,,"Grid Connected",15,Array,Planned,"O2 Turbine",7,"Isle of Wright, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/P154 Guinard Demo",https://www.offshore-energy.biz/guinard-energies-to-power-french-oyster-farm-with-tidal-turbine/,,"Guinard Energies Nouvelles",Active,Tidal,2021,2022,"Grid Connected",0.02,"Single Device",Completed,MegaWattBlue,1,"Ria d'Etel, Brittany, France",Coastal,France
"PRIMRE/Databases/Projects Database/Projects/PB3 Kozu-shima Island Demonstration",,,"Ocean Power Technologies,Mitsui Engineering & Services for Evolution & Sustainability",Inactive,Wave,2017,2017,"Not Grid Connected",0.003,"Single Device",Completed,"PB3 PowerBuoy",1,"Off Coast of Kozu-shima Island, Japan","Open Ocean",Japan
"PRIMRE/Databases/Projects Database/Projects/PLAT-I Connel Sound Demonstration",https://www.smithsonianmag.com/innovation/push-tidal-power-face-biggest-challenge-180974369/,,"Schottel Hydro GmbH,Sustainable Marine Energy Ltd",Inactive,Tidal,2017,2018,"Not Grid Connected",0.28,"Single Device",Decommissioned,"Sustainable Marine Energy and Schottel Hydro PLAT-I",1,"Connel Sound, Scotland, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Pangasinan Energy Island Plant",http://www.energyisland.com/projects/philippines.html,,"Energy Island Ltd",Active,"Thermal Gradient",Planned,,"Grid Connected",50,"Single Device",Planned,,1,"Off the coast of Pangasinan, Philippines",Coastal,Philippines
"PRIMRE/Databases/Projects Database/Projects/Pempa’q In-stream Tidal Energy Project",https://www.offshore-energy.biz/sustainable-marine-gets-busy-on-tidal-power-connection-in-nova-scotia/,,"Sustainable Marine Energy Ltd,Fundy Ocean Research Center for Energy",Active,Tidal,Planned,,"Grid Connected",9,Array,Planned,"Sustainable Marine Energy and Schottel Hydro PLAT-I",20,"Bay of Fundy, Nova Scotia, Canada","Constricted Channel",Canada
"PRIMRE/Databases/Projects Database/Projects/Pennamaquan Project",https://www.offshore-energy.biz/pennamaquan-tidal-project-moves-forward/,,"Halcyon Tidal Power LLC",Inactive,Tidal,Canceled,,,25.6,Array,Canceled,"Alstom Power bulb turbine",17,"Pennamaquan Estuary in the Bay of Fundy, Maine",,"United States"
"PRIMRE/Databases/Projects Database/Projects/Perpetuus Tidal Energy Centre PTEC",https://perpetuustidal.com/,,"Perpetuus Tidal Energy Centre Ltd",Active,Tidal,Planned,,,30,Array,Planned,"O2 Turbine",,"South coast of the Isle of Wight",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Perth Wave Energy Project PWEP",https://www.power-technology.com/projects/perth-wave-energy-project/?cf-view,,"Carnegie Clean Energy",Inactive,Wave,2015,2017,"Grid Connected",5,Array,Completed,"Carnegie Clean Energy CETO 6",3,"Offshore of Fremantle, Australia","Open Ocean",Australia
"PRIMRE/Databases/Projects Database/Projects/Port Fairy Pilot Wave Energy Project",https://www.power-technology.com/projects/port-fairy-pilot-wave-energy-project/,,"BioPower Systems Pty Ltd",Inactive,Wave,2015,2017,"Grid Connected",0.25,"Single Device",Decommissioned,"BioPower Systems bioWAVE",1,"Coast of Port Fairy, Victoria",,Australia
"PRIMRE/Databases/Projects Database/Projects/Port of Antwerp Hydroturbine",https://sustainableworldports.org/project/port-of-antwerp-hydro-turbine/,,Water2Energy,Inactive,Tidal,2018,2019,"Not Grid Connected",0.2,"Single Device",Completed,"Water2Energy VAWT",1,"Port of Antwerp, Belgium","Constricted Channel",Belgium
"PRIMRE/Databases/Projects Database/Projects/Port of Sohar Pilot Tidal Energy Project",https://www.newenergycorp.ca/oman,,"New Energy Corporation",Active,Tidal,Planned,,,0.005,"Single Device",Planned,"New Energy EnviroGen 005",1,"Port of Sohar, Oman",,Oman
"PRIMRE/Databases/Projects Database/Projects/Portland Bill tidal site",https://interregtiger.com/download/tiger-site-report-isle-of-wight/,,"SIMEC Atlantis Energy",Inactive,Tidal,Canceled,,"Grid Connected",30,Array,Canceled,"SAE SeaGen-U",20,"Portland Bill, South of the Isle of Portland on the Dorset Coast",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Portnahaven",https://nsglc.olemiss.edu/sglpj/Vol2No2/Campbell.pdf,,"Voith Hydro Inc",Inactive,Wave,2002,2011,,0.25,"Single Device",Decommissioned,"Land Installed Marine Powered Energy Transformer LIMPET",1,"North Atlantic Ocean",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/PowerPier Alesund",https://havkraft.no/projects/,,"Havkraft AS",Active,Wave,2021,,"Grid Connected",0.03,Array,Operational,"Havkraft H-WEC",2,"Ulsteinflåten, Norway",Coastal,Norway
"PRIMRE/Databases/Projects Database/Projects/Project Nepal Tocardo",https://www.nsenergybusiness.com/news/newstocardo-and-glow-tech-in-jv-for-turbine-production-in-nepal-2/,,"Tocardo International BV",Inactive,Tidal,Canceled,,,2.5,Array,Canceled,"Tocardo International T1 Turbine",25,"Koshi River",,Nepal
"PRIMRE/Databases/Projects Database/Projects/Project Texel Tocardo",https://www.bluewater.com/our-solutions/renewable-energy-solutions/e-power-buoy-terminal/texel-project/,,"Tocardo International BV,Bluewater",Active,Tidal,2015,,"Grid Connected",0.25,"Single Device",Operational,"Tocardo International T2 Turbine",1,"North Sea",,Netherlands
"PRIMRE/Databases/Projects Database/Projects/Pulse Stream 1200",https://cordis.europa.eu/project/id/239533,,"Fraunhofer Institute for Energy Economics and Energy System Technology",Inactive,Tidal,2009,2013,"Not Grid Connected",1.2,"Single Device",Completed,Pulse-Stream,1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Quezon Wave Farm",http://www.energyisland.com/projects/philippines.html,,"Energy Island Ltd",Active,Wave,Planned,,"Grid Connected",0.1,"Single Device",Planned,"Energy Island Lilypad",1,"Quezon, Philippines",Coastal,Philippines
"PRIMRE/Databases/Projects Database/Projects/REAPower",https://www.reapower.eu/,,"REDStack BV",Inactive,"Salinity Gradient",2010,2014,"Not Grid Connected",,"Single Device",Completed,"RED-Stack Blue Energy",,"Mediterranean Sea",,Italy
"PRIMRE/Databases/Projects Database/Projects/REWEC3 at Marina of Roccella Jonica",https://www.wavenergy.it/projects/application-of-the-rewec3-technology-to-the-marina-of-roccella-jonica-italy/,,"Wavenergyit srl",Active,Wave,Planned,,,0.12,Array,Planned,"Wavenergyit REWEC3",2,"Marina of Roccella Jonica",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/REWEC3 in the Harbour of Salerno",https://www.wavenergy.it/projects/rewec3-harbour-salerno/,,"Wavenergyit srl",Inactive,Wave,Canceled,,"Grid Connected",0,Array,Canceled,"Wavenergyit REWEC3",3,"Port of Salerno",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/REWEC3 in the Port of Civitavecchia",https://www.wavenergy.it/generico/the-first-worldwide-application-at-full-scale-of-the-rewec3-device-in-the-port-of-civitavecchia/,,"Wavenergyit srl",Inactive,Wave,2013,2017,,2.5,"Single Device",Completed,"Wavenergyit REWEC3",1,"Port of Civitavecchia, Rome, Italy",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/Ramsey Sound DeltaStream Demonstration",https://tethys.pnnl.gov/project-sites/ramsey-sound,,"Tidal Energy Ltd",Inactive,Tidal,2015,2016,"Not Grid Connected",0.4,Sub-scale,Completed,"TEL DeltaStream",1,"Ramsey Sound, Wales, UK","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Ramsey Sound Regeneration Tidal Project",https://cambrian-offshore.com/,,"Cambrian Offshore",Active,Tidal,Planned,,"Grid Connected",1,"Single Device",Planned,"TEL DeltaStream",,"Ramsey Sound, Pembrokeshire, Wales, UK","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Resen PLOCAN Test",https://www.resenwaves.com/wave-energy-data-communications/the-technology/,,"Resen Waves",Inactive,Wave,Canceled,,"Grid Connected",0.0003,Sub-scale,Completed,"Resen Smart Power Buoy",1,"North Atlantic Ocean",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/Ringmo",https://www.powermag.com/himalayan-run-of-river-project-depends-on-new-component-types/,,"New Energy Corporation",Active,Riverine,2014,,"Not Grid Connected",0.005,"Single Device",Operational,"New Energy EnviroGen 005",1,"Ringmo, Nepal",River,Nepal
"PRIMRE/Databases/Projects Database/Projects/Roosevelt Island Tidal Energy RITE Project",https://verdantpower.com/rite/,,"Verdant Power",Inactive,Tidal,2012,2021,"Grid Connected",0.105,Array,Decommissioned,"Kinetic Hydropower System (KHPS) Gen5",3,"East River","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Rotary Wave Butterfly Valencia Test",https://www.rotarywave.com/en/projects/,,"Rotary Wave",Inactive,Wave,2015,2016,"Grid Connected",0.5,"Single Device",Decommissioned,"Rotary Wave Butterfly Device",1,"Balearic Sea, Valencia, Spain",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/Ruby",https://www.newenergycorp.ca/ruby,,"New Energy Corporation",Inactive,Tidal,2008,2010,,0.005,"Single Device",Completed,"EnCurrent Turbine",1,"Yukon River, Alaska",River,"United States"
"PRIMRE/Databases/Projects Database/Projects/SBS 1MW Pilot Project",http://www.sbsintl.com/1mw-pilot-project.html,,"SBS Intl Ltd",Active,Tidal,Planned,,"Grid Connected",1,Array,Planned,,,,,Indonesia
"PRIMRE/Databases/Projects Database/Projects/SEAFLOW",https://www.iee.fraunhofer.de/en/research_projects/search/2004/seaflow.html,,"Fraunhofer Institute for Energy Economics and Energy System Technology,Marine Current Turbines",Inactive,Tidal,2001,2004,"Not Grid Connected",0.3,"Single Device",Completed,"Marine Current Turbines SeaFlow",1,"Lynnmouth, North Devon",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/SINN Power Crete",https://www.altenergymag.com/news/2018/06/12/wave-energy-converter-installation-in-heraklion-first-preparation-phase-successfully-completed/28709/,,"SINN Power GmbH",Active,Wave,2018,,"Grid Connected",0.08,"Single Device",Operational,"SINN Power WEC",5,"Heraklion, Crete",,Greece
"PRIMRE/Databases/Projects Database/Projects/SUPRC OTEC Pilot Project",https://report2016.ocean-energy-systems.org/country-reports/republic-of-korea/technology-demonstration/,,"Korea Research Institute of Ships and Ocean Engineering",Inactive,"Thermal Gradient",2013,2013,,0.02,"Single Device",Completed,"KRISO OTEC",1,"Near  Gangwon-do Goseoung-gun",Coastal,"South Korea"
"PRIMRE/Databases/Projects Database/Projects/Sabella D10 tidal turbine at Ushant Island - Phase 1",https://www.sabella.bzh/en/our-projects/d10/,,Sabella,Inactive,Tidal,2015,2016,"Grid Connected",1,"Single Device",Completed,"Sabella D10",1,"Fromveur Passage, off the coast of Ushant Island, Brittany","Constricted Channel",France
"PRIMRE/Databases/Projects Database/Projects/Sabella D10 tidal turbine at Ushant Island - Phase 2",https://www.sabella.bzh/wp-content/uploads/d10_recovery_april_2019.pdf,,Sabella,Inactive,Tidal,2018,2019,"Grid Connected",1,"Single Device",Completed,"Sabella D10",1,"Fromveur Passage, off the coast of Ushant Island, Brittany","Constricted Channel",France
"PRIMRE/Databases/Projects Database/Projects/Sabella D10 tidal turbine at Ushant Island - Phase 3",https://www.sabella.bzh/wp-content/uploads/sabella_d10_smoothing_function_final.pdf,,Sabella,Active,Tidal,2022,,"Grid Connected",1,"Single Device",Operational,"Sabella D10",1,"Fromveur Passage, off the coast of Ushant Island, Brittany","Constricted Channel",France
"PRIMRE/Databases/Projects Database/Projects/Sanda Sound",https://www.oceanflowenergy.com/project-details2.html,,"Oceanflow Energy Ltd",Inactive,Tidal,2014,2015,"Grid Connected",0.035,"Single Device",Decommissioned,Evopod,1,"Sanda Sound, Scotland",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Scilly Airport WEP",https://www.offshorewind.biz/2013/09/10/uk-scilly-airport-wep-getting-closer-to-reality/,,"40 South Energy",Active,Wave,2013,,"Not Grid Connected",0.45,Array,Planned,"40 South Energy R115",3,"Celtic Sea",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/SeaGen-S Strangford Lough",https://saerenewables.com/meygen-operational-update-3-2/,,"SIMEC Atlantis Energy",Inactive,Tidal,2008,2016,"Grid Connected",1.2,"Single Device",Decommissioned,"SAE SeaGen-S",1,"Strangford Narrows, Northern Ireland","Constricted Channel",Ireland
"PRIMRE/Databases/Projects Database/Projects/Seagen Anglesey Skerries",https://tethys.pnnl.gov/project-sites/anglesey-skerries-tidal-stream-array,,"SIMEC Atlantis Energy",Inactive,Tidal,Canceled,,"Grid Connected",100,Array,Canceled,"SAE SeaGen-S",9,"Irish Sea, UK",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Seagen Brough Ness",https://www.pentlandfirthrenewables.co.uk/portfolio/brough-ness/,,"SIMEC Atlantis Energy",Active,"Ocean Current",Planned,,"Grid Connected",99,Array,Planned,"SAE SeaGen-S",66,"Atlantic Ocean",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Seagen Kyle Rhea",https://www.sas.org.uk/wp-content/uploads/Kyle-Rhea.pdf,,"SIMEC Atlantis Energy",Inactive,Tidal,2009,2016,"Grid Connected",8,Array,Canceled,"SAE SeaGen-S",4,"Kyle Rhea, between the Isle of Skye and the west coast of Scotland","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Seaturns Trial at Sainte-Anne-du-Portzic",https://seaturns.com/progress/,,"Seaturns,French Research Institute for Exploitation of the Sea",Active,Wave,2023,,"Not Grid Connected",50,Sub-scale,Operational,"Seaturns WEC",1,"Bay of Brest","Enclosed Bay",France
"PRIMRE/Databases/Projects Database/Projects/Shetland Tidal Array Phase 1",https://tethys.pnnl.gov/project-sites/nova-innovation-shetland-tidal-array,,"Nova Innovation Ltd",Inactive,Tidal,2016,2022,"Grid Connected",0.3,Array,Completed,"Nova M100",3,"Irish Sea, UK",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Shetland Tidal Array Phase 2 EnFAIT",https://tethys.pnnl.gov/project-sites/nova-innovation-shetland-tidal-array,,"Nova Innovation Ltd",Inactive,Tidal,2018,2022,"Grid Connected",0.6,Array,Completed,"Nova M100",6,"Atlantic Ocean",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Sihwa Tidal Power Plant",https://tethys.pnnl.gov/project-sites/sihwa-tidal-power-plant,,"Korean Water Resource Corporation",Active,Tidal,2011,,"Not Grid Connected",254,Array,Operational,,10,"Sihwa Lake, South Korea","Enclosed Bay","South Korea"
"PRIMRE/Databases/Projects Database/Projects/Singapore Tidal Demonstration Project",https://www.mako.energy/singapore-demonstration-project,,"MAKO Tidal Turbines Pty Ltd MTT",Inactive,Tidal,2017,2018,"Not Grid Connected",0.4,"Single Device",Completed,"MAKO Tidal Turbine",1,Singapore,Coastal,Singapore
"PRIMRE/Databases/Projects Database/Projects/Solway Energy Gateway",http://www.solwayenergygateway.co.uk/,,"Solway Energy Gateway Ltd",Active,Tidal,Planned,,"Not Grid Connected",100,"Single Device",Planned,,1,"Irish Sea","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Sotenas Wave Power Project",https://tethys.pnnl.gov/project-sites/sotenas-project,,"Seabased AB",Inactive,Wave,2015,2017,"Grid Connected",9,Array,Canceled,"Seabased WEC",36,"North Sea",,Sweden
"PRIMRE/Databases/Projects Database/Projects/Sound of Islay",https://tethys.pnnl.gov/project-sites/sound-islay-demonstration-tidal-array,,"ANDRITZ Hydro",Inactive,Tidal,2010,,"Not Grid Connected",10,Array,Decommissioned,"ANDRITZ Hydro HS1000",8,Malin,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Svanoy Havbruk",https://havkraft.no/projects/,,"Havkraft AS",Active,Wave,Planned,,"Not Grid Connected",0.3,"Single Device",Planned,"Havkraft H-WEC",1,Austnesvågen,"Enclosed Bay",Norway
"PRIMRE/Databases/Projects Database/Projects/Swansea Bay Tidal Lagoon",https://www.newcivilengineer.com/latest/1-3bn-swansea-bay-tidal-lagoon-officially-sunk-as-developer-loses-planning-appeal-07-12-2022/,,"Tidal Lagoon Power",Inactive,Tidal,2015,2022,"Grid Connected",320,Array,Canceled,,20,"Swansea Bay, UK","Enclosed Bay","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Söderfors Project",https://www.uu.se/en/news/2013/2013-03-05-experimental-marine-current-turbine-to-be-installed-in-dalalven,,"Uppsala University",Active,Riverine,2013,,"Grid Connected",0.0075,"Single Device",Operational,,1,"River Dal, Sweden",River,Sweden
"PRIMRE/Databases/Projects Database/Projects/Tasmania Turbine Demo Project",https://www.offshore-energy.biz/mako-tidal-turbine-tackles-tasmanian-tides/,,"MAKO Tidal Turbines Pty Ltd MTT",Inactive,Tidal,2016,2017,"Not Grid Connected",1,"Single Device",Completed,"MAKO Tidal Turbine",1,"Tamar River Estuary, Tasmania",River,Australia
"PRIMRE/Databases/Projects Database/Projects/The Bahamas",https://otecorporation.com/download/ocean-thermal-energy-conversion-for-the-bahamas/,,"Ocean Thermal Energy Corporation",Active,"Thermal Gradient",2011,,"Grid Connected",10,"Single Device",Operational,"Ocean Thermal Energy Corporation OTEC Plant",1,"off-coast of Bahamas",Coastal,Bahamas
"PRIMRE/Databases/Projects Database/Projects/Tidal Sails Kvalsund Strait",https://marineenergy.biz/2018/11/12/tidal-sails-boosts-full-scale-demonstration-volume/,,"Tidal Sails AS",Inactive,Tidal,2018,2020,"Grid Connected",6,"Single Device",Completed,"Tidal Sails TackReach",1,"Kvalsund Strait, Norway","Constricted Channel",Norway
"PRIMRE/Databases/Projects Database/Projects/TigerRay",https://cpower.co/first-c-power-ocean-eneregy-system-in-action/,,"University of Washington",Active,Wave,2022,,"Not Grid Connected",0.002,"Single Device",Planned,"C-Power SeaRAY",1,"Sequim Bay, Washington, United States","Enclosed Bay","United States"
"PRIMRE/Databases/Projects Database/Projects/Torr Head",https://tethys.pnnl.gov/project-sites/torr-head-project,,"Tidal Ventures Limited",Inactive,Tidal,2016,2023,"Grid Connected",100,Array,Completed,,100,Malin,,Ireland
"PRIMRE/Databases/Projects Database/Projects/Tveter Power PLOCAN Test",https://www.plocan.net/index.php/en/2018/march/1923-ttbe-en,,"Tveter Power",Active,"Salinity Gradient",2018,,"Not Grid Connected",0.08,"Single Device",Operational,"Tveter Power WEC Pumping Device",1,"Canary Islands PLOCAN Test Site",,Spain
"PRIMRE/Databases/Projects Database/Projects/Vestmanna DG100 Tidal Kite System",https://minesto.com/projects/faroe-islands,,"Minesto AB",Active,Tidal,2020,,"Grid Connected",0.1,Array,Operational,"Deep Green Tidal Kite",,"Vestmanna,  Faroe Islands","Constricted Channel",Denmark
"PRIMRE/Databases/Projects Database/Projects/Vestmanna Tidal Power Plant",https://minesto.com/faroe-islands/,,"Minesto AB",Active,Tidal,2022,,"Grid Connected",1.4,Array,Operational,"Minesto Dragon 4,Minesto Dragon 12",3,"Vestmanna, Faroe Islands","Constricted Channel",Denmark
"PRIMRE/Databases/Projects Database/Projects/WEDUSEA",https://www.iee.fraunhofer.de/en/research_projects/search/2022/WEDUSEA.html,,"Fraunhofer Institute for Energy Economics and Energy System Technology,Innosea,Hydro Group PLC,OceanEnergy,European Marine Energy Centre Ltd",Active,Wave,Planned,,"Grid Connected",1,"Single Device",Planned,"OE Buoy WEC",1,"Orkney, Scotland",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/WSE King Island Project",https://www.waveswell.com/king-island-project-2/,,"Wave Swell Energy Ltd",Inactive,Wave,2021,2023,"Grid Connected",0.2,"Single Device",Decommissioned,"WSE UniWave200",1,"King Island harbour, Tasmania","Enclosed Bay",Australia
"PRIMRE/Databases/Projects Database/Projects/Water2Energy Zeeland Pilot",https://www.energisingcoasts.eu/water2energy,,Water2Energy,Inactive,Tidal,2021,2022,"Grid Connected",0.1,"Single Device",Completed,"Water2Energy VAWT",1,"Port of Flushing","Constricted Channel",Netherlands
"PRIMRE/Databases/Projects Database/Projects/Wave Energy for a Sustainable Archipelago (WESA)",https://seabased.com/projects,,"Seabased AB",Inactive,Wave,2012,2013,"Not Grid Connected",,"Single Device",Completed,"Seabased WEC",1,"Baltic Sea","Open Ocean",Finland
"PRIMRE/Databases/Projects Database/Projects/WaveNET Series 12",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/wavenet-series-12/,,"Albatern Ltd,Wave Energy Scotland,European Marine Energy Centre Ltd",Inactive,Wave,Canceled,,,0.075,Array,Canceled,"Albatern SQUID 6",6,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/West Islay Tidal Energy Farm",https://www.power-technology.com/projects/west-islay-tidal-farm-scotland/,,"DP Energy",Active,Tidal,Planned,,,30,Array,Planned,"SAE SeaGen-S",30,"Off the west coast of island of Islay, Scotland",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/West Somerset Tidal Lagoon",https://tidalengineering.co.uk/west-somerset-lagoon/location-and-scheme-description/,,"Halcyon Tidal Power LLC",Active,Tidal,Planned,,,2500,Array,Planned,,,"Bristol Channel",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Westray South",https://www.rechargenews.com/offshore-wind/dp-acquires-westray-south-tidal/1-1-865993,,"Orbital Marine Power",Active,Tidal,,,"Grid Connected",200,Array,Planned,"ANDRITZ Hydro HS1500",,"Atlantic Ocean",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wyre Estuary Tidal Barrage",https://www.visitfleetwood.info/about/seafront/river-wyre-wyre-tidal-barrage/,,"SIMEC Atlantis Energy",Active,"Tidal,Riverine",Planned,,"Grid Connected",160,Array,Planned,"SAE AR1500",,"Atlantic Ocean",River,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Yongsoo OWC Pilot Plant",https://www.wavec.org/contents/files/15--keyyong-hong-.pdf,,"Korea Research Institute of Ships and Ocean Engineering",Inactive,Wave,2016,2019,"Grid Connected",0.5,"Single Device",Completed,"Yongsoo OWC",1,"Yellow Sea, Jeju Island, South Koread",Coastal,"South Korea"
